stop_id_clean,canonical_stop_name,canonical_name_rows,stop_name_variant_count,total_named_rows,stop_name_examples
2543,Cayuga Meadows,2414,2,2671,Cayuga Meadows | CayugaMeadows
338,Ithaca College,2435,2,2591,Ithaca College | IC-Garden Apts
376,College Circle,2175,2,2418,College Circle | CollCir-North
3524,Sheraton @ Trip,2106,2,2326,Sheraton @ Trip | Sheraton@Tripha
3526,Triphammer Mark,2092,2,2304,Triphammer Mark | Triphammer Mrlt
709,Chestnut @ Elm,2104,2,2304,Chestnut @ Elm | Chstnt@Elm
3745,Northwood Apts,1573,2,2284,Northwood Apts | Northwoods Apts
1722,Stewart @ Senec,1904,2,2094,Stewart @ Senec | Stewart@Seneca
3516,Triphammer @ Sp,1907,2,2077,Triphammer @ Sp | Tripham@Spruce
737,Linderman Creek,1874,2,2051,Linderman Creek | LindermanCrkApt
3553,Uptown Village,1764,2,1981,Uptown Village | UptownVillApt
559,Meadow at Ithac,1793,2,1946,Meadow at Ithac | Medow@IthShopPl
4510,Dryden Rd @ For,1696,2,1862,Dryden Rd @ For | Dryd@ForestHome
3951,Hanshaw Village,1630,2,1803,Hanshaw Village | HanshaVillage
2628,Main @ Washingt,1600,2,1758,Main @ Washingt | Main@Washington
1328,Cradit Farm @ B,1634,2,1705,Cradit Farm @ B | Balch-CraditFrm
527,215 Elmira Rd -,1428,2,1571,215 Elmira Rd - | 215Elmira-Pudgi
1564,Campus @ Judd F,1439,2,1544,Campus @ Judd F | Campus@JuddFall
3762,Village Solars,1345,2,1510,Village Solars | VillageSolarS
1746,Ithaca @ Elmwoo,1338,2,1478,Ithaca @ Elmwoo | Ithaca@Elmwood
5552,Skyvue @ Snyder,1313,2,1393,Skyvue @ Snyder | Skyvue@SnyHill
3520,Triphammer @ Wi,1142,2,1378,Triphammer @ Wi | Triphmr@Winthro
1357,Triphammer @ Je,1240,2,1346,Triphammer @ Je | Trphamr@Jessup
314,Hudson @ Columb,1236,2,1331,Hudson @ Columb | Hudson@Columbia
673,Buffalo @ Fulto,1149,2,1265,Buffalo @ Fulto | Buffalo@Fulton
941,Cayuga Park Ln,1176,2,1232,Cayuga Park Ln | Cayuga Park @ 3
669,State/MLK @ Inl,1090,2,1193,State/MLK @ Inl | State@InletIsln
6713,Elmira Rd @ 7 M,1152,2,1173,Elmira Rd @ 7 M | Elmira @ 7 Mile
4506,Dryden Rd @ Gam,1095,2,1153,Dryden Rd @ Gam | Dryden@GameFarm
676,Buffalo @ Taugh,1078,2,1152,Buffalo @ Taugh | Buffalo@Taughan
2627,Main @ Washingt,997,2,1106,Main @ Washingt | Main@Washington
135,Green @ Fayette,1000,2,1063,Green @ Fayette | Green@Fayette
352,Ithaca College,1009,2,1056,Ithaca College | IC-Terrace Apts
4387,Cortland St @ C,880,2,969,Cortland St @ C | Cortland_Cayuga
5536,Honness at Itha,878,2,961,Honness at Itha | Honnss@IthRecWa
663,State/MLK @ Mea,866,2,944,State/MLK @ Mea | State@Meadow
668,State @ Fulton,871,2,942,State @ Fulton | StateFulton
906,Cayuga @ Tompki,845,2,939,Cayuga @ Tompki | Cayuga@Tompkins
564,Elmira Rd @ Wal,827,2,923,Elmira Rd @ Wal | Elmira @Walmart
5719,Pine Tree @ Sla,805,2,919,Pine Tree @ Sla | PineTree@Sltrvl
328,Hudson @ Coddin,840,2,914,Hudson @ Coddin | Hudson@Coddingt
6515,West Danby Rd @,821,2,899,West Danby Rd @ | WDanby@Melody
1747,Ithaca @ Elmwoo,781,2,867,Ithaca @ Elmwoo | Ithaca@Elmwood
3728,Warren at Warre,803,2,861,Warren at Warre | Warr@WarrWoodAp
5531,Pine Tree @ Hon,689,2,840,Pine Tree @ Hon | Pine Tr@Honness
672,Seneca @ Fulton,759,2,839,Seneca @ Fulton | Seneca@Fulton
4516,Dryden Rd @ Fre,714,2,828,Dryden Rd @ Fre | Dryden@Freese
6789,Elmira Rd @ Mai,721,2,824,Elmira Rd @ Mai | Elmra@Main
329,Coddington at I,751,2,794,Coddington at I | Coddington@IC
503,Clinton @ Fayet,716,2,789,Clinton @ Fayet | Clinton@Fayette
5548,Snyder Hill @ H,739,2,782,Snyder Hill @ H | SnydrHl@Hungrfd
128,State/MLK @ Pla,730,2,781,State/MLK @ Pla | State @ Plain
705,Chestnut Hill A,764,2,779,Chestnut Hill A | ChestnutHilApts
569,Elmira @ Spence,703,2,778,Elmira @ Spence | Elmira@Spencer
107,Cayuga @ Buffal,660,2,686,Cayuga @ Buffal | Cayuga@Buffalo
5796,Boiceville Cott,598,2,679,Boiceville Cott | BoiceviCottages
913,Lincoln @ Cayug,588,2,671,Lincoln @ Cayug | Lincoln@Cayuga
2624,Main @ South (T,614,2,658,Main @ South (T | Main@South
327,Coddington @ Hu,598,2,654,Coddington @ Hu | Coddington@Huds
3909,Salem @ Maplewo,597,2,646,Salem @ Maplewo | Salem@Maplewd
2514,Trumansburg Rd,580,2,638,Trumansburg Rd | Tbrg@ Bundy
661,Green @ Meadow,571,2,609,Green @ Meadow | Green@Meadow
3523,Sheraton @ Trip,558,2,608,Sheraton @ Trip | Sheraton@Tripha
1307,Thurston @ Bart,583,2,606,Thurston @ Bart | Thurston@Barton
519,Plain @ Center,565,2,606,Plain @ Center | Plain@Center
3521,Triphammer at K,571,2,601,Triphammer at K | Trphmr@Kendal
3740,Warren @ Dart,517,2,596,Warren @ Dart | WarrenRd@DartDr
348,Ithaca College,541,2,594,Ithaca College | IC-Butterfield
3716,Hanshaw @ Black,531,2,593,Hanshaw @ Black | Hanshaw@Blackst
900,Cayuga @ Cascad,510,2,577,Cayuga @ Cascad | Cayug@Cascadill
940,Cayuga Park @ M,527,2,565,Cayuga Park @ M | Marketview Apt
4518,1062 Dryden Rd,523,2,559,1062 Dryden Rd | Pineridge Apts
3601,Triphammer @ Gr,429,2,532,Triphammer @ Gr | Tripr@Graham
4755,North @ Brightd,441,2,530,North @ Brightd | North@Brightday
1310,Highland @ Thur,478,2,522,Highland @ Thur | Highlnd@Thurstn
113,Seneca @ Albany,463,2,502,Seneca @ Albany | Seneca@Albany
2511,Candlewyck Park,419,2,480,Candlewyck Park | Tbrg@Candlewyck
547,Fairgrounds Mem,442,2,476,Fairgrounds Mem | Fairgrnds@Lowes
565,323 Elmira Rd -,444,2,476,323 Elmira Rd - | 323Elmira-Byrne
313,Hudson @ Columb,424,2,473,Hudson @ Columb | Hudson@Columbia
3932,Sapsucker Woods,410,2,455,Sapsucker Woods | SapsuWds@Hanshw
1755,Dryden @ Pine T,392,2,444,Dryden @ Pine T | Dryden@Pine Tre
4750,43 North St - V,406,2,444,43 North St - V | DrydnNorthVlero
528,214 Elmira Rd -,403,2,435,214 Elmira Rd - | 214Elmira-Reuse
570,Elmira @ Spence,392,2,431,Elmira @ Spence | Elmira@Spencer
5710,Honness @ Slate,351,2,429,Honness @ Slate | Honness@Sltrvl
3726,Dewitt Middle S,392,2,426,Dewitt Middle S | Dewitt MS
4570,Etna Mills Apts,412,2,423,Etna Mills Apts | Main @ Etna Ln
6714,Elmira Rd @ 7 M,382,2,412,Elmira Rd @ 7 M | Elmira @ 7 Mile
6532,Newfield Depot,371,2,400,Newfield Depot | NewfldDep@ValMa
4375,Groton Town Hal,361,2,399,Groton Town Hal | GrotonTownHall
2623,Main @ South (T,384,2,398,Main @ South (T | Main@South
5560,Eastern Heights,369,2,397,Eastern Heights | EastHts@Landmrk
1535,Campus @ Gates,313,2,384,Campus @ Gates | Campus@Gates
928,Third @ Cascadi,352,2,377,Third @ Cascadi | Third@Cascadlla
127,State/MLK @ Pla,342,2,370,State/MLK @ Pla | State@Plain
4716,Main @ Rocheste,348,2,370,Main @ Rocheste | Main@Rochester
520,Plain @ Center,342,2,359,Plain @ Center | Plain@Center
3515,Triphammer @ Te,326,2,356,Triphammer @ Te | Tripham@Texas
5549,Snyder Hill @ D,338,2,356,Snyder Hill @ D | SnyderHill@Dove
2615,E Main @ Cemete,285,2,349,E Main @ Cemete | EMain@Cemetary
4773,Poets Landing A,304,2,347,Poets Landing A | PoetsLndgApts
1756,Dryden @ Synchr,313,2,338,Dryden @ Synchr | Dryden@Synchrot
1309,Thurston @ High,323,2,335,Thurston @ High | Thrstn@Highland
5712,Slaterville Rd,266,2,328,Slaterville Rd | Sltrvil@TwrView
3906,Hanshaw @ Salem,303,2,323,Hanshaw @ Salem | Hanshaw@Salem
6519,West Danby Rd @,290,2,322,West Danby Rd @ | WDanby@ShltrVal
3559,Warrenwood Apts,292,2,321,Warrenwood Apts | Uptwn@WarrenwAp
5746,Slaterville Rd,299,2,320,Slaterville Rd | Sltrvl@Lounsbry
3794,20 Thornwood Dr,296,2,313,20 Thornwood Dr | 20 Thornwood
2550,Trumansburg Rd,292,2,309,Trumansburg Rd | Tbrg@CayMedCtr
330,Coddington at I,278,2,308,Coddington at I | Coddington@IC
504,Clinton @ Fayet,270,2,302,Clinton @ Fayet | Clinton@Fayette
3900,Warren @ Hansha,277,2,300,Warren @ Hansha | Warren@Hanshaw
703,Chestnut @ Sunr,283,2,297,Chestnut @ Sunr | Chestnt@Sunrise
4715,Main @ Rocheste,273,2,291,Main @ Rocheste | Main@Rochester
6367,South Danby Par,275,2,289,South Danby Par | SDanbyParkRide
4528,Dryden Rd @ Bak,261,2,284,Dryden Rd @ Bak | Dryden@BakerHil
5559,Eastern Heights,257,2,279,Eastern Heights | EastrnHts@Sharl
1329,Helen Newman Ha,238,2,277,Helen Newman Ha | HelenNewmanHall
4756,North @ Brightd,237,2,273,North @ Brightd | North@Brightday
4752,North @ Freevil,241,2,265,North @ Freevil | North@Freeville
567,359 Elmira Rd -,243,2,264,359 Elmira Rd - | 359Elmira-Frfld
4511,Varna Auto,251,2,259,Varna Auto | 933 Dryden Rd -
2533,1229 Trumansbur,239,2,254,1229 Trumansbur | Tbrg@CayuRidge
562,Meadow @ Elmira,240,2,252,Meadow @ Elmira | Meadow@Elmira
1362,Triphammer @ Oa,228,2,250,Triphammer @ Oa | Trip@OakHill
3519,Triphammer @ Wi,191,2,242,Triphammer @ Wi | Triphmr@Winthro
108,Cayuga @ Buffal,222,2,240,Cayuga @ Buffal | Cayuga@Buffalo
1331,McClintock Hall,214,2,239,McClintock Hall | McClintHall Acr
4522,Dryden Rd @ Tur,211,2,234,Dryden Rd @ Tur | Dryd@Trky Hill
4749,36 North St - D,210,2,233,36 North St - D | DrydnNorthDunkn
3784,Culligan @ Brow,212,2,231,Culligan @ Brow | Culligan@Brown
4326,Rte38 @ Main (F,168,2,228,Rte38 @ Main (F | Rte38@Main
1301,Thurston @ Stew,215,2,225,Thurston @ Stew | Thurston@Stewar
3904,Muriel @ Hansha,201,2,222,Muriel @ Hansha | Muriel@Hanshaw
4540,Dryden Rd @ Mai,205,2,219,Dryden Rd @ Mai | Rt 13@Rt 366
2330,Enfield Element,197,2,217,Enfield Element | EnfieldElemntry
6511,West Danby Rd @,140,2,210,West Danby Rd @ | WDanby @ Decker
1556,Vet Medical Cen,192,2,209,Vet Medical Cen | Vet Med Center
1361,Triphammer @ Co,188,2,206,Triphammer @ Co | Triphamr@CntryC
2324,Mecklenburg Rd,178,2,206,Mecklenburg Rd | Mcklbrg@Aplgate
5538,Snyder Hill @ P,204,2,206,Snyder Hill @ P | SnyderHill@Trai
2564,Trumansburg Rd,192,2,205,Trumansburg Rd | Tbrg@Woolf
6524,Newfield Depot,183,2,204,Newfield Depot | NewflDep@WDanby
3921,Rose Hill @ Mur,179,2,202,Rose Hill @ Mur | RoseHill@Muriel
2339,Enfield Highway,189,2,201,Enfield Highway | Enfield HiwyDep
2616,E Main @ Cemete,193,2,200,E Main @ Cemete | EMain@Cemetery
3911,Salem @ Birchwo,182,2,200,Salem @ Birchwo | Salem@Birchwood
1129,Lake St at Boyn,179,2,198,Lake St at Boyn | LakeSt@Boynton
2329,Enfield Element,174,2,198,Enfield Element | EnfieldElemntry
6337,Danby Rd @ Muzz,178,2,194,Danby Rd @ Muzz | DanbyRd@Muzzy
2326,Mecklenburg Rd,173,2,191,Mecklenburg Rd | Mcklbrg@SndyCrk
3902,Hanshaw @ Warre,183,2,190,Hanshaw @ Warre | Hanshaw@Warren
1323,Risley Hall - F,179,2,189,Risley Hall - F | Risley-Front
318,Hudson at South,179,2,189,Hudson at South | SouthHillSchool
911,Cayuga @ Lincol,177,2,185,Cayuga @ Lincol | Cayuga@Lincoln
953,Hancock @ First,158,2,184,Hancock @ First | Hancock@First
2547,Museum of the E,120,2,182,Museum of the E | Museum of Earth
5561,Eastern Heights,156,2,179,Eastern Heights | EastrnHts@Joann
3119,East Shore Dr @,157,2,174,East Shore Dr @ | EShore@Asbury
5779,Brooktondale Rd,148,2,173,Brooktondale Rd | BdaleRd@Besem
2325,Mecklenburg Rd,150,2,171,Mecklenburg Rd | Mcklbrg@SndyCrk
6767,Newfield Depot,146,2,171,Newfield Depot | NwfldDepot@Mill
3781,Thornwood @ Bro,156,2,170,Thornwood @ Bro | Thornwd@Brown
