route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,route_stop_group
30,3526,Triphammer Mark,704,704,522,182,177,522,182,0.3390804597701149,True,exclude_or_sensitivity
40,1541,Uris Hall,704,704,704,0,528,704,0,0.75,False,exclude_or_sensitivity
36,1525,Rockefeller Hal,696,696,696,0,568,696,0,0.8160919540229885,False,exclude_or_sensitivity
51,1767,PineTree @ EHP,692,692,467,225,174,467,225,0.37259100642398285,True,exclude_or_sensitivity
10,1521,Milstein Hall,673,673,673,0,488,673,0,0.725111441307578,False,exclude_or_sensitivity
32,1325,Thurston at Bal,659,659,351,308,210,351,308,0.5982905982905983,True,exclude_or_sensitivity
15,543,HomeGoods,658,658,400,258,113,400,258,0.2825,True,exclude_or_sensitivity
37,1330,Appel Commons,651,651,651,0,561,651,0,0.8617511520737328,False,exclude_or_sensitivity
43,1534,Sage Hall,634,634,634,0,475,634,0,0.749211356466877,False,exclude_or_sensitivity
81,1353,A Lot,628,628,439,189,172,439,189,0.3917995444191344,True,exclude_or_sensitivity
21,1546,Dairy Bar Acros,619,619,605,14,511,605,14,0.8446280991735537,False,exclude_or_sensitivity
10,105,Court @ Linn,610,610,610,0,388,610,0,0.6360655737704918,False,exclude_or_sensitivity
32,3560,Warrenwood Apts,610,610,549,61,126,549,61,0.22950819672131148,True,exclude_or_sensitivity
65,1542,Kennedy Hall,593,593,593,0,489,593,0,0.8246205733558178,False,exclude_or_sensitivity
37,1524,Goldwin Smith,590,590,586,4,473,586,4,0.8071672354948806,False,exclude_or_sensitivity
32,1713,Mitchell @ Coll,585,585,291,294,139,291,294,0.47766323024054985,True,exclude_or_sensitivity
32,1704,State/MLK @ Qua,578,578,414,164,217,414,164,0.5241545893719807,True,exclude_or_sensitivity
40,1543,Corson/Mudd Hal,564,564,564,0,490,564,0,0.8687943262411347,False,exclude_or_sensitivity
30,3522,Triphammer at K,545,545,399,146,76,399,146,0.19047619047619047,True,exclude_or_sensitivity
17,100,Seneca Commons,538,538,215,323,78,215,323,0.3627906976744186,True,exclude_or_sensitivity
90,1715,CTown Crossing,534,534,0,534,0,0,534,,False,exclude_or_sensitivity
43,1542,Kennedy Hall,512,512,512,0,399,512,0,0.779296875,False,exclude_or_sensitivity
65,165,Green Commons,512,512,504,8,36,504,8,0.07142857142857142,False,exclude_or_sensitivity
90,1355,Jessup @ Tripha,491,491,0,491,0,0,491,,False,exclude_or_sensitivity
90,1703,State/MLK @ Qua,488,488,0,488,0,0,488,,False,exclude_or_sensitivity
65,1540,Uris Hall Acros,474,474,474,0,361,474,0,0.7616033755274262,False,exclude_or_sensitivity
90,100,Seneca Commons,472,472,0,472,0,0,472,,False,exclude_or_sensitivity
51,100,Seneca Commons,466,466,266,200,106,266,200,0.39849624060150374,True,exclude_or_sensitivity
67,1544,Bradfield Hall,457,457,457,0,417,457,0,0.912472647702407,False,exclude_or_sensitivity
15,559,Meadow at Ithac,452,452,275,177,62,275,177,0.22545454545454546,True,exclude_or_sensitivity
40,1533,Statler Hall,452,452,452,0,336,452,0,0.7433628318584071,False,exclude_or_sensitivity
30,3711,PleasGrove@Hans,429,429,301,128,129,301,128,0.42857142857142855,True,exclude_or_sensitivity
37,1541,Uris Hall,420,420,418,2,335,418,2,0.8014354066985646,False,exclude_or_sensitivity
67,559,Meadow at Ithac,419,419,208,211,108,208,211,0.5192307692307693,True,exclude_or_sensitivity
36,165,Green Commons,417,417,417,0,86,417,0,0.20623501199040767,False,exclude_or_sensitivity
15,134,McGraw House,412,412,343,69,63,343,69,0.1836734693877551,True,exclude_or_sensitivity
36,1533,Statler Hall,404,404,404,0,339,404,0,0.8391089108910891,False,exclude_or_sensitivity
30,1702,State/MLK @ Ste,396,396,195,201,65,195,201,0.3333333333333333,True,exclude_or_sensitivity
31,1524,Goldwin Smith,388,388,289,99,134,289,99,0.46366782006920415,True,exclude_or_sensitivity
67,1540,Uris Hall Acros,384,384,384,0,289,384,0,0.7526041666666666,False,exclude_or_sensitivity
14S,679,State/MLK at In,376,376,376,0,13,376,0,0.034574468085106384,False,exclude_or_sensitivity
31,3511,Trip @ Hanshaw,375,375,297,78,121,297,78,0.4074074074074074,True,exclude_or_sensitivity
32,1357,Triphammer @ Je,370,370,189,181,112,189,181,0.5925925925925926,True,exclude_or_sensitivity
20,1542,Kennedy Hall,364,364,364,0,334,364,0,0.9175824175824175,False,exclude_or_sensitivity
67,1546,Dairy Bar Acros,358,358,358,0,304,358,0,0.8491620111731844,False,exclude_or_sensitivity
30,3584,YMCA,357,357,244,113,83,244,113,0.3401639344262295,True,exclude_or_sensitivity
67,112,Albany at Salva,354,354,214,140,35,214,140,0.16355140186915887,True,exclude_or_sensitivity
90,1345,Jess@PleasGrove,343,343,0,343,0,0,343,,False,exclude_or_sensitivity
90,1701,State/MLK @ Ste,340,340,0,340,0,0,340,,False,exclude_or_sensitivity
37,1547,Dairy Bar,334,334,333,1,284,333,1,0.8528528528528528,False,exclude_or_sensitivity
10,1111,University @ Co,333,333,333,0,223,333,0,0.6696696696696697,False,exclude_or_sensitivity
51,112,Albany at Salva,332,332,224,108,123,224,108,0.5491071428571429,True,exclude_or_sensitivity
15,527,215 Elmira Rd -,331,331,197,134,67,197,134,0.3401015228426396,True,exclude_or_sensitivity
43,1725,Stewart @ Willi,323,323,229,94,121,229,94,0.5283842794759825,True,exclude_or_sensitivity
51,5548,Snyder Hill @ H,323,323,293,30,235,293,30,0.8020477815699659,False,exclude_or_sensitivity
67,1555,Vet School,309,309,309,0,184,309,0,0.5954692556634305,False,exclude_or_sensitivity
20,1540,Uris Hall Acros,307,307,307,0,258,307,0,0.8403908794788274,False,exclude_or_sensitivity
32,3794,20 Thornwood Dr,286,286,274,12,48,274,12,0.17518248175182483,False,exclude_or_sensitivity
40,1725,Stewart @ Willi,285,285,285,0,225,285,0,0.7894736842105263,False,exclude_or_sensitivity
51,1714,Catherine Commo,284,284,129,155,77,129,155,0.5968992248062015,True,exclude_or_sensitivity
65,1544,Bradfield Hall,282,282,282,0,249,282,0,0.8829787234042553,False,exclude_or_sensitivity
15,551,Walmart South E,281,281,172,109,44,172,109,0.2558139534883721,True,exclude_or_sensitivity
37,1545,Bradfield Hall,278,278,272,6,247,272,6,0.9080882352941176,False,exclude_or_sensitivity
65,1555,Vet School,277,277,277,0,217,277,0,0.7833935018050542,False,exclude_or_sensitivity
21,2620,TBurg School,275,275,240,35,1,240,35,0.004166666666666667,False,exclude_or_sensitivity
10,1726,Stewart @ Willi,272,272,272,0,175,272,0,0.6433823529411765,False,exclude_or_sensitivity
31,1316,Highland @ Lake,272,272,181,91,101,181,91,0.5580110497237569,True,exclude_or_sensitivity
51,1774,E Hill Plaza,270,270,188,82,71,188,82,0.3776595744680851,True,exclude_or_sensitivity
32,1746,Ithaca @ Elmwoo,268,268,203,65,107,203,65,0.5270935960591133,True,exclude_or_sensitivity
37,1326,Risley Hall - S,264,264,264,0,213,264,0,0.8068181818181818,False,exclude_or_sensitivity
31,1325,Thurston at Bal,261,261,208,53,80,208,53,0.38461538461538464,True,exclude_or_sensitivity
82,1771,E Hill Office,256,256,232,24,175,232,24,0.7543103448275862,False,exclude_or_sensitivity
65,1546,Dairy Bar Acros,254,254,254,0,197,254,0,0.7755905511811023,False,exclude_or_sensitivity
90,1711,College @ Mitch,249,249,0,249,0,0,249,,False,exclude_or_sensitivity
