source_month,event_time,ts,ts_event,ts_vhist,bus,tr_seq,route_clean,stop_id_clean,stop_name_raw_clean,text_clean,description_clean,media_text_clean,corrected_rider_num
01,2025-01-14 19:20:31,2025-01-14 19:18:38,2025-01-14 19:20:31,,1603,50.0,30,3588,Ithaca Mall,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:31:57,2025-01-14 19:29:07,2025-01-14 19:31:57,,1603,56.0,30,1326,Risley-Shelter,Got fare,Second Left Arrow 16,Cornell,1
01,2025-01-14 19:31:57,2025-01-14 19:29:07,2025-01-14 19:31:57,,1603,56.0,30,1326,Risley-Shelter,Got fare,Second Left Arrow 16,Cornell,1
01,2025-01-14 19:33:15,2025-01-14 19:31:08,2025-01-14 19:33:15,,1603,57.0,30,1524,GoldwinSmithHl,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:33:15,2025-01-14 19:31:08,2025-01-14 19:33:15,,1603,57.0,30,1524,GoldwinSmithHl,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:35:20,2025-01-14 19:32:29,2025-01-14 19:35:20,,1603,59.0,30,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:35:20,2025-01-14 19:32:29,2025-01-14 19:35:20,,1603,59.0,30,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:37:08,2025-01-14 19:32:48,2025-01-14 19:37:08,,1603,61.0,30,1716,SchwrtzPrfArCtr,Mobile Ticket Transaction,Ithaca College Pass,IC Pass,1
01,2025-01-14 19:37:08,2025-01-14 19:32:48,2025-01-14 19:37:08,,1603,61.0,30,1716,SchwrtzPrfArCtr,Mobile Ticket Transaction,Ithaca College Pass,IC Pass,1
01,2025-01-14 19:42:30,2025-01-14 19:41:56,2025-01-14 19:42:30,,1603,70.0,30,100,Commons-Seneca,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:42:30,2025-01-14 19:41:56,2025-01-14 19:42:30,,1603,70.0,30,100,Commons-Seneca,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:50:22,2025-01-14 19:48:12,2025-01-14 19:50:22,,1603,72.0,30,165,Commons-GreenSt,Mobile Ticket Transaction,1 Day Pass Mobile,1DAYPASS,1
01,2025-01-14 19:50:22,2025-01-14 19:48:12,2025-01-14 19:50:22,,1603,72.0,30,165,Commons-GreenSt,Mobile Ticket Transaction,1 Day Pass Mobile,1DAYPASS,1
01,2025-01-14 19:50:22,2025-01-14 19:48:21,2025-01-14 19:50:22,,1603,73.0,30,165,Commons-GreenSt,Mobile Ticket Transaction,1 Day Pass Mobile,1DAYPASS,1
01,2025-01-14 19:50:22,2025-01-14 19:48:21,2025-01-14 19:50:22,,1603,73.0,30,165,Commons-GreenSt,Mobile Ticket Transaction,1 Day Pass Mobile,1DAYPASS,1
01,2025-01-14 19:55:14,2025-01-14 19:54:48,2025-01-14 19:55:14,,1603,76.0,30,1719,College @ Oak,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:55:14,2025-01-14 19:54:48,2025-01-14 19:55:14,,1603,76.0,30,1719,College @ Oak,Special card,Cornell Card,Cornell,1
