route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,didisc_group
92,1531,Carpenter Hall,848,848,0,848,0,0,848,,False,exclude_or_sensitivity
21,1544,Bradfield Hall,840,840,833,7,773,833,7,0.9279711884753902,False,exclude_or_sensitivity
31,3936,Lab of Ornith,820,820,693,127,288,693,127,0.4155844155844156,True,exclude_or_sensitivity
90,1716,Schwartz CPA,819,819,0,819,0,0,819,,False,exclude_or_sensitivity
92,1508,University @ St,807,807,0,807,0,0,807,,False,exclude_or_sensitivity
37,1543,Corson/Mudd Hal,781,781,779,2,680,779,2,0.8729139922978177,False,exclude_or_sensitivity
15,110,Geneva @ State/,774,774,600,174,152,600,174,0.25333333333333335,True,exclude_or_sensitivity
20,1534,Sage Hall,759,759,759,0,656,759,0,0.8642951251646904,False,exclude_or_sensitivity
37,1555,Vet School,738,738,704,34,513,704,34,0.7286931818181818,False,exclude_or_sensitivity
92,1326,Risley Hall - S,733,733,0,733,0,0,733,,False,exclude_or_sensitivity
65,1534,Sage Hall,715,715,715,0,527,715,0,0.737062937062937,False,exclude_or_sensitivity
14S,549,WalMart,714,714,714,0,12,714,0,0.01680672268907563,False,exclude_or_sensitivity
11,100,Seneca Commons,711,711,465,246,81,465,246,0.17419354838709677,True,exclude_or_sensitivity
30,3526,Triphammer Mark,704,704,522,182,177,522,182,0.3390804597701149,True,exclude_or_sensitivity
40,1541,Uris Hall,704,704,704,0,528,704,0,0.75,False,exclude_or_sensitivity
36,1525,Rockefeller Hal,696,696,696,0,568,696,0,0.8160919540229885,False,exclude_or_sensitivity
51,1767,PineTree @ EHP,692,692,467,225,174,467,225,0.37259100642398285,True,exclude_or_sensitivity
10,1521,Milstein Hall,673,673,673,0,488,673,0,0.725111441307578,False,exclude_or_sensitivity
32,1325,Thurston at Bal,659,659,351,308,210,351,308,0.5982905982905983,True,exclude_or_sensitivity
15,543,HomeGoods,658,658,400,258,113,400,258,0.2825,True,exclude_or_sensitivity
37,1330,Appel Commons,651,651,651,0,561,651,0,0.8617511520737328,False,exclude_or_sensitivity
43,1534,Sage Hall,634,634,634,0,475,634,0,0.749211356466877,False,exclude_or_sensitivity
81,1353,A Lot,628,628,439,189,172,439,189,0.3917995444191344,True,exclude_or_sensitivity
21,1546,Dairy Bar Acros,619,619,605,14,511,605,14,0.8446280991735537,False,exclude_or_sensitivity
32,3560,Warrenwood Apts,611,611,550,61,126,550,61,0.2290909090909091,True,exclude_or_sensitivity
10,105,Court @ Linn,610,610,610,0,388,610,0,0.6360655737704918,False,exclude_or_sensitivity
65,1542,Kennedy Hall,593,593,593,0,489,593,0,0.8246205733558178,False,exclude_or_sensitivity
37,1524,Goldwin Smith,590,590,586,4,473,586,4,0.8071672354948806,False,exclude_or_sensitivity
32,1713,Mitchell @ Coll,585,585,291,294,139,291,294,0.47766323024054985,True,exclude_or_sensitivity
