Stop_Id_vhist,Stop_Name_vhist,boards,routes,cornell_card,cornell_override,cornell_card_share,cornell_any_observed_share
705,ChestnutHilApts,14,14,6,1,0.42857142857142855,0.5
2323,Mcklbrg@Aplgate,7,20,3,0,0.42857142857142855,0.42857142857142855
2550,Tbrg@CayMedCtr,7,21,3,0,0.42857142857142855,0.42857142857142855
4356,Peru @ Hamilton,7,40,3,2,0.42857142857142855,0.7142857142857143
5722,Slaterville Rd ,7,"51,52",3,0,0.42857142857142855,0.42857142857142855
3593,Tops Lansing,839,30,357,7,0.42550655542312277,0.433849821215733
3586,Butler@Graham,132,30,56,3,0.42424242424242425,0.44696969696969696
545,South Meadow Ma,1073,"14S,15",445,23,0.4147250698974837,0.4361602982292637
1311,Highland @ Thur,29,31,12,0,0.41379310344827586,0.41379310344827586
3550,Uptown @ Cinema,112,32,46,5,0.4107142857142857,0.45535714285714285
527,215Elmira-Pudgi,74,15,30,1,0.40540540540540543,0.4189189189189189
3937,Lab of Ornith,37,31,15,4,0.40540540540540543,0.5135135135135135
3579,Cayuga Mall,1848,30,745,27,0.40313852813852813,0.41774891774891776
4718,Dryden Vill Lib,2649,43,1063,10,0.401283503208758,0.4050585126462816
1767,Pine Tree at Ea,15,"51,52",6,0,0.4,0.4
504,Clinton@Fayette,10,15,4,0,0.4,0.4
559,Meadow at Ithac,648,"14S,15,67",258,11,0.39814814814814814,0.41512345679012347
3515,Triphammer @ Te,194,"30,32",76,4,0.3917525773195876,0.41237113402061853
3521,Triphammer at K,276,"30,32,36",108,4,0.391304347826087,0.4057971014492754
6321,Danby @ King,126,65,49,4,0.3888888888888889,0.42063492063492064
1328,Cradit Farm @ B,114,"37,81,90,92",44,42,0.38596491228070173,0.7543859649122807
4528,Dryden Rd @ Bak,190,"40,43",73,4,0.38421052631578945,0.4052631578947368
911,Cayuga @ Lincol,88,"13,17,22",33,10,0.375,0.48863636363636365
2623,Main@South,8,21,3,0,0.375,0.375
3919,RoseH@Tarytn,8,31,3,3,0.375,0.75
4717,Dryden Village ,8,43,3,0,0.375,0.375
5526,318 Pine Tree -,8,51,3,0,0.375,0.375
571,Elmira @ Butter,8,67,3,0,0.375,0.375
726,WarrenPl@Snrise,8,14,3,4,0.375,0.875
3137,Lansing Twn Hl,646,"36,37",242,12,0.3746130030959752,0.3931888544891641
3919,Rose Hill @ Tar,51,31,19,3,0.37254901960784315,0.43137254901960786
1373,Triphammer @ No,38,"32,36",14,0,0.3684210526315789,0.3684210526315789
669,State/MLK @ Inl,606,"14,20",223,17,0.367986798679868,0.39603960396039606
3932,Sapsucker Woods,196,31,72,13,0.3673469387755102,0.4336734693877551
511,Clinton West,392,67,142,1,0.3622448979591837,0.3647959183673469
4387,Cortland St @ C,665,"40,43",240,10,0.3609022556390977,0.37593984962406013
2319,Mecklenburg Rd ,97,20,35,3,0.36082474226804123,0.3917525773195876
527,215 Elmira Rd -,630,15,226,7,0.35873015873015873,0.36984126984126986
3733,22 Arrowwood,143,"32,37",51,1,0.35664335664335667,0.36363636363636365
1513,Baker Flag,303,92,107,128,0.35313531353135313,0.7755775577557755
3954,Guthrie Hanshaw,54,31,19,5,0.35185185185185186,0.4444444444444444
731,Hector @ Warren,74,"14,14S,20",26,2,0.35135135135135137,0.3783783783783784
6779,Main @ Bridge,752,67,264,0,0.35106382978723405,0.35106382978723405
6519,West Danby Rd @,220,67,77,1,0.35,0.35454545454545455
3120,East Shore Dr @,23,36,8,0,0.34782608695652173,0.34782608695652173
3782,Brown @ Thornwo,26,32,9,0,0.34615384615384615,0.34615384615384615
