route,boards,cornell_card,cornell_override,other_fare,blank_or_got_fare,unique_stops,cornell_card_share,cornell_override_share,cornell_any_observed_share,sample
82,112077,96203,1922,11131,2821,27,0.8583652310465126,0.017148924400189156,0.8755141554467019,weekday_pre6
51,72364,55825,2707,9986,3846,61,0.77144712840639,0.037408103476866954,0.8088552318832569,weekday_pre6
43,45292,23106,619,13930,7637,95,0.5101563189967323,0.01366687273690718,0.5238231917336394,weekday_pre6
11,44768,3102,264,38089,3313,33,0.06929056468906361,0.005897069335239456,0.07518763402430308,weekday_pre6
15,39807,11579,468,18015,9745,23,0.2908784887080162,0.011756726203933981,0.30263521491195017,weekday_pre6
14,38267,5544,426,21356,10941,60,0.14487678678757154,0.01113230720986751,0.15600909399743904,weekday_pre6
37,38223,30496,720,5321,1686,71,0.7978442299139261,0.018836825994819874,0.8166810559087461,weekday_pre6
21,29235,15464,396,9323,4052,65,0.5289550196682059,0.013545407901487942,0.5425004275696939,weekday_pre6
31,22084,13668,2829,3656,1931,54,0.6189096178228581,0.12810179315341425,0.7470114109762724,weekday_pre6
67,18215,7353,154,7379,3329,49,0.40367828712599507,0.008454570409003569,0.4121328575349986,weekday_pre6
90,14857,9022,4138,393,1304,28,0.6072558389984519,0.27852190886450834,0.8857777478629603,weekday_pre6
52,13286,8506,302,2914,1564,57,0.6402227909077224,0.022730693963570674,0.6629534848712931,weekday_pre6
40,12470,7029,326,3025,2090,64,0.563672814755413,0.026142742582197273,0.5898155573376103,weekday_pre6
36,11191,8636,188,1844,523,51,0.7716915378429094,0.01679921365382897,0.7884907514967384,weekday_pre6
65,10192,5431,245,3124,1392,67,0.5328689167974883,0.02403846153846154,0.5569073783359497,weekday_pre6
20,8476,3926,127,2677,1746,48,0.46319018404907975,0.014983482774893819,0.47817366682397355,weekday_pre6
13,7925,584,1548,5108,685,33,0.07369085173501577,0.19533123028391167,0.26902208201892747,weekday_pre6
14S,7908,541,21,4029,3317,41,0.0684117349519474,0.002655538694992413,0.07106727364693981,weekday_pre6
92,5860,2867,2274,85,634,21,0.48924914675767917,0.38805460750853243,0.8773037542662117,weekday_pre6
17,5829,3680,176,1339,634,17,0.6313261279807857,0.03019385829473323,0.661519986275519,weekday_pre6
